program,python_experience,pandas_skill,os,hw0,env,dark_mode,languages,dob,waketime,sleep,favorite_movie,movie_genres,hobbies,num_languages,age
bachelor's (statistics),Less than 1 year,1.0,MacOS,ğŸ˜,mamba/micromamba,True,"spanish, english ",2004-11-18,1900-01-01 08:00:00,7,peter pan: the movie ,"action, comedy, documentary","soccer, surfing, cs109a hw ",2,19.0
bachelor's (physics),2-4 years,3.0,MacOS,ğŸ˜,conda,True,"italian, spanish, english",2003-11-18,1900-01-01 06:30:00,6.5,memento,"action, comedy, sci-fi, fantasy, mystery/thriller","soccer, reading, bike touring",3,20.0
bachelor's (am),2-4 years,1.0,MacOS,ğŸ˜…,mamba/micromamba,False,"russian, english",2001-12-20,1900-01-01 08:00:00,7.5,eternal sunshine of the spotless mind,"comedy, drama, romance, documentary","reading, yoga, baking",2,22.0
master's (ds),2-4 years,3.0,MacOS,ğŸ§,mamba/micromamba,True,"english, mandarin",2001-01-22,1900-01-01 10:00:00,7.5,kung fu panda,"comedy, drama, horror, mystery/thriller","painting, skateboarding, hang out with friends",2,23.0
bachelor's (cs),2-4 years,4.0,Windows,ğŸ˜,conda,False,english chinese,2002-11-25,1900-01-01 07:30:00,8,,,,1,21.0
master's (ds),1-2 years,3.0,MacOS,ğŸ˜…,conda,False,"chinese, english",2002-05-19,1900-01-01 08:00:00,7.5,a beautiful mind,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","jigsaw puzzle, hiphop dance, switch games",2,22.0
bachelor's (cs),4+ years,4.0,Windows,ğŸ°,mamba/micromamba,True,"english, spanish, japanese",2003-10-28,1900-01-01 07:30:00,7,star wars: revenge of the sith,"action, comedy, horror, sci-fi, mystery/thriller","gym, gambling, music reviewing",3,20.0
phd,2-4 years,3.0,MacOS,ğŸ§,mamba/micromamba,True,"english, mandarin",2002-09-29,1900-01-01 09:30:00,7-8,hidden figures,"sci-fi, fantasy","journaling, crafts, volleyball",2,21.0
bachelor's cpb + statistics (joint),1-2 years,3.0,MacOS,ğŸ˜,mamba/micromamba,False,"english, mandarin, latin",2024-09-11,1900-01-01 07:45:00,6.5,hidden figures,"action, sci-fi, fantasy, mystery/thriller","knitting, skiing, hiking",3,0.0
master's (ds),1-2 years,3.0,Windows,ğŸ˜…,mamba/micromamba,True,english,,,,,"action, sci-fi, documentary",tennis,1,
bachelor's (cs),1-2 years,3.0,MacOS,ğŸ˜,mamba/micromamba,True,"polish, english, german",2005-07-07,1900-01-01 07:30:00,6.5,lost in translation,"mystery/thriller, documentary","gym, origami, fashion",3,19.0
master's (ds),2-4 years,5.0,Windows,ğŸ˜…,other,True,"chinese, english",2002-05-26,1900-01-01 11:00:00,7,underground,"comedy, sci-fi","concert, vinyl collecting, boardgames",2,22.0
bachelor's (am),2-4 years,2.0,MacOS,ğŸ§,mamba/micromamba,True,"arabic, english, french, spanish",2005-03-12,1900-01-01 07:00:00,7,harry potter,"action, sci-fi, fantasy, mystery/thriller","sailing, reading, biking",4,19.0
bachelor's (mechanical engineering),1-2 years,3.0,MacOS,ğŸ˜,mamba/micromamba,True,english,2002-02-24,1900-01-01 07:00:00,7.5,inception,"action, comedy, sci-fi, fantasy, documentary","working out, hiking, cooking",1,22.0
master's (mde),Less than 1 year,1.0,MacOS,ğŸ§,mamba/micromamba,True,"english, python",2002-05-11,1900-01-01 07:00:00,6,kill bill,"action, comedy, sci-fi, fantasy, romance","chess, poetry, exploring ",2,22.0
bachelor's (am),1-2 years,2.0,MacOS,ğŸ˜…,other,True,spanish,2004-11-06,1900-01-01 08:00:00,7,inception,"action, comedy, sci-fi","soccer, surfing",1,19.0
bachelor's (am),1-2 years,2.0,MacOS,ğŸ§,mamba/micromamba,True,"english, afrikaans",2003-01-09,1900-01-01 08:30:00,7.5,back to the future,"comedy, sci-fi, fantasy, documentary",playing drums,2,21.0
bachelor's (statistics),1-2 years,3.0,MacOS,ğŸ˜,mamba/micromamba,True,"portuguese, english",2004-08-07,1900-01-01 07:30:00,6,,,,2,20.0
bachelor's (am),1-2 years,1.0,MacOS,ğŸ˜,mamba/micromamba,True,"english, cantonese",2003-06-10,1900-01-01 07:00:00,7,rush hour,action,playing fifa,2,21.0
bachelor's (hdrb),2-4 years,3.0,Windows,ğŸ˜,mamba/micromamba,False,"english, chinese",2003-05-14,1900-01-01 08:15:00,8,wall-e,"drama, sci-fi",,2,21.0
ms/mba,2-4 years,2.0,MacOS,â˜ ï¸,mamba/micromamba,False,mandarin,1997-05-11,1900-01-01 07:30:00,6,aa,action,basketball,1,27.0
bachelor's economics,Less than 1 year,1.0,MacOS,ğŸ˜…,mamba/micromamba,False,english,2001-10-31,1900-01-01 07:00:00,7,the green mile,"action, comedy","lacrosse, weightlifting, huge baltimore ravens fan",1,22.0
bachelor's (am),1-2 years,2.0,MacOS,ğŸ§,mamba/micromamba,False,"english, spanish, texan",2002-08-27,1900-01-01 06:30:00,6,talladega knights,"action, comedy, mystery/thriller, documentary","ice hockey, roadtrips, backpacking, rugby",3,22.0
bachelors (econ),Less than 1 year,1.0,MacOS,ğŸ˜…,mamba/micromamba,True,korean,2003-03-29,1900-01-01 08:40:00,5,eternal sunshine of the spotless mind,"action, comedy, drama, fantasy, mystery/thriller, romance","biking, singing, listening to music ",1,21.0
bachelor's (am),Less than 1 year,1.0,MacOS,ğŸ§,conda,False,"english, mandarin, spanish",2005-07-29,1900-01-01 07:10:00,6,weathering with you,"drama, horror, sci-fi, mystery/thriller, romance",,3,19.0
cbqg ms,2-4 years,3.0,Windows,ğŸ§,conda,True,"chinese, english",2002-12-15,1900-01-01 08:00:00,7,,documentary,"hiking, tasting, photography",2,21.0
bachelor's (am),Less than 1 year,1.0,MacOS,ğŸ˜…,mamba/micromamba,True,"english, chinese",2005-07-03,1900-01-01 10:00:00,7,star wars iii,"action, comedy, sci-fi","playing music, working out, trying out different restaurants",2,19.0
bachelor's (am),2-4 years,3.0,MacOS,ğŸ˜,mamba/micromamba,True,"mandarin, french",2004-05-21,1900-01-01 08:40:00,6.5,talented mr ripley,,"making art, trying new coffee and food,",2,20.0
bachelor's (am),2-4 years,3.0,Windows,ğŸ˜,mamba/micromamba,True,"english, afrikaans",2002-04-11,1900-01-01 08:00:00,7-9,harry potter,"comedy, drama, horror, mystery/thriller, romance, documentary","dance, painting, crochet",2,22.0
bachelor's (physics),Less than 1 year,1.0,MacOS,ğŸ§,i don't have a working local environment yet,False,"english, arabic, spanish",2001-11-09,1900-01-01 08:00:00,7,omar w salma,"comedy, mystery/thriller, romance, documentary","lifting (gym), biking, watching soap operas (telenovelas)",3,22.0
master's (hsph),2-4 years,2.0,Windows,ğŸ˜±,mamba/micromamba,True,"english, chinese",,,,,,,2,
master computational bio,1-2 years,2.0,MacOS,ğŸ§,mamba/micromamba,True,english,2002-06-25,1900-01-01 08:00:00,8,fly,"action, horror, fantasy","tennis, video games, basketball",1,22.0
bachelor's (am),4+ years,2.0,MacOS,ğŸ˜…,mamba/micromamba,True,"english, chinese, spanish",,,,,,,3,
master's (ds),4+ years,4.0,MacOS,ğŸ˜,mamba/micromamba,True,"english, korean",2001-12-25,1900-01-01 07:00:00,6-7,gladiator,"action, comedy, sci-fi, mystery/thriller, romance","watching movies/shows, crochet/knit, sleeping",2,22.0
bachelor's (economics),1-2 years,2.0,MacOS,ğŸ˜…,mamba/micromamba,False,english,2003-01-26,1900-01-01 09:00:00,9,memento,"action, comedy, drama, mystery/thriller, romance, documentary","running, reading, hiking",1,21.0
bachelor's (cs),Less than 1 year,1.0,MacOS,ğŸ§,mamba/micromamba,True,"serbo-croatian, german, italian",2003-10-13,1900-01-01 08:00:00,7,la vita e bella,"action, comedy","playing handball, watching documentaries, swimming",3,20.0
bachelor's (cs),1-2 years,3.0,MacOS,ğŸ§,mamba/micromamba,True,"english, chinese",2004-01-07,1900-01-01 08:30:00,6,jojo rabbit,"action, comedy, drama, sci-fi","tennis, dancing, french horn",2,20.0
bachelor's (cs),2-4 years,3.0,MacOS,ğŸ˜…,mamba/micromamba,True,kinyarwanda,,,,,,,1,
secondary cs,1-2 years,3.0,Windows,ğŸ§,pipenv,False,"english, turkish, spanish",2004-07-30,1900-01-01 08:00:00,6-8,interstellar or django unchained,"action, sci-fi","listening to music, working out, travelling",3,20.0
bachelors (integrative bio),2-4 years,2.0,MacOS,ğŸ§,mamba/micromamba,True,english,2002-05-15,1900-01-01 08:00:00,7,surf's up,"action, comedy","hiking, playing soccer, reading",1,22.0
visiting undergraduate student ,Less than 1 year,1.0,MacOS,ğŸ˜…,mamba/micromamba,True,english,,1900-01-01 09:00:00,6,starwars (all),,hiking,1,
bachelor's (cs),1-2 years,2.0,MacOS,ğŸ§,mamba/micromamba,True,"english, mandarin",2004-11-23,1900-01-01 07:00:00,6,oceans 11,mystery/thriller,"fencing, playing flute, diabolo",2,19.0
bachelor's astrophysics and physics joint degree,1-2 years,3.0,Windows,ğŸ°,conda,True,"dutch, english, german, french",2002-09-16,1900-01-01 07:30:00,8,good will hunting,"action, documentary","cycling, hiking, rowing",4,21.0
phd,2-4 years,2.0,MacOS,ğŸ§,conda,True,english,2000-04-19,1900-01-01 07:45:00,8,love actually,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, documentary","playing tennis, playing piano",1,24.0
bachelor's (cs),1-2 years,2.0,MacOS,ğŸ§,mamba/micromamba,True,"english, swahili",2001-09-15,1900-01-01 07:00:00,7,,"comedy, mystery/thriller","dance, binge watching tv shows",2,22.0
bachelor's (cs),2-4 years,1.0,MacOS,ğŸ˜,mamba/micromamba,True,english ,2003-08-05,1900-01-01 06:30:00,7.5,about time,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","basketball, coding, running",1,21.0
master's (ds),Less than 1 year,3.0,MacOS,ğŸ˜…,mamba/micromamba,False,"english, mandarian",2004-01-13,1900-01-01 07:30:00,7,spider-man: into the spider-verse,"action, fantasy","playing the piano, skateboarding, listening to music",2,20.0
bachelor's (economics),Less than 1 year,1.0,MacOS,ğŸ˜…,mamba/micromamba,True,kinyarwanda,,1900-01-01 08:00:00,8,,"action, comedy, drama, sci-fi, mystery/thriller","soccer, binging shows, dancing",1,
bachelor's (statistics),Less than 1 year,1.0,MacOS,ğŸ§,mamba/micromamba,False,english,2024-10-20,1900-01-01 08:30:00,7,dune 2,"action, comedy, drama, documentary","rowing, music - cello piano, reading",1,-1.0
bachelor's (am),Less than 1 year,1.0,Windows,ğŸ˜,mamba/micromamba,False,"english, tiny bit of spanish",2003-05-30,1900-01-01 07:00:00,8,lord of the rings,"action, horror, sci-fi, fantasy, mystery/thriller","backpacking, running, acting",2,21.0
master's (ds) [extension school],1-2 years,2.0,MacOS,ğŸ˜,mamba/micromamba,True,english chinese,1992-10-07,1900-01-01 07:30:00,8,annie hall,"comedy, documentary","tennis, painting, hiking",1,31.0
bachelor's (economics),1-2 years,1.0,MacOS,ğŸ§,mamba/micromamba,False,english,2003-03-20,1900-01-01 08:00:00,7,nerve,"drama, horror, mystery/thriller, romance","running, watching movies, trying food",1,21.0
bachelor's (cs),1-2 years,3.0,MacOS,ğŸ§,mamba/micromamba,True,"vietnamese, english",2003-09-10,1900-01-01 09:00:00,6-7,parasite,"comedy, horror, mystery/thriller","napping, going to the gym, and reading",2,21.0
phd,Less than 1 year,2.0,MacOS,ğŸ§,mamba/micromamba,False,"english, chinese, french",1997-02-26,1900-01-01 09:30:00,7.5,la la land,"comedy, fantasy, mystery/thriller, romance","chess, board games, bouldering",3,27.0
phd,1-2 years,3.0,Windows,ğŸ˜,mamba/micromamba,True,english,1997-10-05,1900-01-01 06:15:00,8,mulan,"comedy, drama, sci-fi, fantasy","cooking, running, going to concerts",1,26.0
master's (ds),4+ years,3.0,MacOS,ğŸ°,mamba/micromamba,True,english & chinese,2002-09-30,1900-01-01 07:00:00,6-7,bullet train,"action, comedy, horror, mystery/thriller","lifting, running, eating",1,21.0
bachelor's (am),2-4 years,3.0,MacOS,ğŸ§,mamba/micromamba,False,"german, slovak, russian",2001-05-03,1900-01-01 08:15:00,7,the godfather,"action, comedy, horror, sci-fi, documentary",surfing,3,23.0
bachelor's (statistics),1-2 years,2.0,MacOS,ğŸ§,mamba/micromamba,True,english ,2005-01-06,1900-01-01 14:00:00,12,long legs ,"comedy, drama, horror, sci-fi","watching tv, pandas, numpy",1,19.0
bachelor's (cs),4+ years,3.0,MacOS,ğŸ˜,mamba/micromamba,True,"french, hebrew, english",1998-09-24,1900-01-01 08:00:00,7,,"comedy, drama, romance, documentary","baking, hiking, traveling",3,25.0
bachelor's (cs),4+ years,3.0,Linux,ğŸ°,venv,True,"turkish, turkmen, german",2003-04-15,1900-01-01 08:00:00,6,la la land,"comedy, drama, fantasy, romance, documentary","running dungeons and dragons, video games, following political polls",3,21.0
bachelor's (cs),1-2 years,2.0,MacOS,ğŸ˜,mamba/micromamba,True,english,2002-02-27,1900-01-01 05:30:00,7,big hero 6,"action, fantasy","creative writing, rock climbing, video games",1,22.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,ğŸ§,mamba/micromamba,True,english,2003-09-14,1900-01-01 07:00:00,6.5,the witch,"drama, horror, mystery/thriller, documentary","riding horses, baking, yoga",1,20.0
bachelor's (bme),1-2 years,2.0,MacOS,ğŸ§,mamba/micromamba,True,"english, spanish",2005-09-07,1900-01-01 08:00:00,6.5,sky high,"action, comedy, drama, sci-fi, mystery/thriller, romance","playing soccer, watching gilmore girls, eating food",2,19.0
bachelor's (cs),Less than 1 year,1.0,MacOS,ğŸ˜…,mamba/micromamba,False,"english, somali",2005-03-28,1900-01-01 08:00:00,8,la haine,"action, comedy","gym, gaming, netflix",2,19.0
bachelor's (am),1-2 years,2.0,MacOS,ğŸ˜±,mamba/micromamba,True,"mandarin, spanish",2004-08-26,1900-01-01 08:40:00,7,inception,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller","golf, playing violin, listening to music",2,20.0
bachelor's (cs),2-4 years,3.0,MacOS,ğŸ˜,mamba/micromamba,True,english,2004-02-29,1900-01-01 09:00:00,8,3 idiots,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","watching soccer, biking, eating pasta",1,20.0
bachelor's (am),2-4 years,4.0,MacOS,ğŸ°,conda,True,"english, spanish, korean",2005-03-30,1900-01-01 08:00:00,6,pitch perfect,"comedy, fantasy, romance","tennis, playing violin, playing ukulele",3,19.0
phd,1-2 years,2.0,Windows,ğŸ˜…,conda,True,english,,,,scooby doo 2 monsters unleashed,"comedy, drama, horror, sci-fi","laughing, having fun",1,
bachelor's (astro & applied physics),4+ years,4.0,Windows,ğŸ§,conda,False,"english, hebrew, chinese, spanish",2004-05-31,1900-01-01 08:00:00,7,hidden figures,"sci-fi, fantasy","origami, polo, baking",4,20.0
bachelor's (engineering sciences),Less than 1 year,1.0,MacOS,ğŸ§,mamba/micromamba,False,"english, polish, spanish",2003-05-23,1900-01-01 07:00:00,6,,comedy,,3,21.0
bachelor's (cs),1-2 years,3.0,MacOS,ğŸ§,mamba/micromamba,True,english,2005-10-22,1900-01-01 08:20:00,7,idk,"action, comedy, romance","coding, coding, coding",1,18.0
bachelor's (economics),Less than 1 year,1.0,MacOS,ğŸ˜…,i don't have a working local environment yet,False,"korean, english, spanish, mandarin",2004-01-31,1900-01-01 07:30:00,6,20th century girl,"comedy, drama, romance","cafe-hopping, painting, brunching",4,20.0
bachelor's (statistics),1-2 years,2.0,MacOS,ğŸ˜,conda,True,englis,2003-12-30,1900-01-01 08:30:00,7,us,comedy,"soccer, chess, video games",1,20.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,ğŸ˜…,i don't have a working local environment yet,True,"english, chinese",2005-04-04,1900-01-01 09:00:00,7,,drama,"playing music, sewing, baking",2,19.0
master's (ds) [extension school],Less than 1 year,1.0,Windows,ğŸ§,conda,True,"english, urdu, arabic",2001-01-17,1900-01-01 09:30:00,8,harry potter and the prisoner of askaban,"action, comedy, sci-fi, mystery/thriller, documentary","cycling, video editing, reading",3,23.0
bachelor's (math),Less than 1 year,2.0,MacOS,ğŸ˜±,mamba/micromamba,False,english,2004-11-29,1900-01-01 08:40:00,6,whiplash,mystery/thriller,,1,19.0
bachelor's (cs),4+ years,3.0,MacOS,ğŸ˜,mamba/micromamba,True,swahili,2004-07-07,1900-01-01 08:00:00,7,big hero 6,"action, documentary",music,1,20.0
bachelor's (cs),2-4 years,3.0,Windows,ğŸ§,mamba/micromamba,True,"english, french",2005-01-01,1900-01-01 08:00:00,6,,"action, comedy, sci-fi, fantasy, romance","rock climbing, sleeping, youtube",2,19.0
,,,,,,True,tamil,2004-08-17,1900-01-01 08:00:00,8,,"action, comedy, romance","basketball, sewing, dancing",1,20.0
bachelor's (statistics),1-2 years,2.0,MacOS,ğŸ˜,mamba/micromamba,True,"english, spanish",2004-04-17,1900-01-01 07:45:00,7,lion,"comedy, drama, mystery/thriller","reading, singing, watching plays",2,20.0
bachelor's (statistics),1-2 years,2.0,MacOS,ğŸ˜…,mamba/micromamba,True,english,2005-01-12,1900-01-01 08:15:00,8.75,dead poets society,"action, drama, sci-fi","photography, literature, skateboarding",1,19.0
ms/mba,4+ years,2.0,MacOS,ğŸ˜,mamba/micromamba,True,"chinese, english, bad french",2002-10-18,1900-01-01 08:00:00,8,annihilation,"horror, sci-fi","muaythai, dinosaurs, oil painting",3,21.0
bachelor's (cs),1-2 years,1.0,Windows,ğŸ°,i don't have a working local environment yet,True,english,2002-02-16,1900-01-01 08:00:00,7,arrival,"action, sci-fi, mystery/thriller","basketball, lift, read",1,22.0
bachelor's (cs),2-4 years,1.0,MacOS,ğŸ˜…,i don't have a working local environment yet,True,"english, chinese, spanish",,,,,,,3,
bachelor's (statistics),4+ years,4.0,MacOS,ğŸ°,conda,False,"spanish, lamonz",2004-03-30,1900-01-01 08:34:00,8.5,interstellar,"action, comedy, sci-fi, fantasy, documentary","saxophone, soccer, eating blueberries",2,20.0
bachelor's (statistics),1-2 years,2.0,Windows,ğŸ§,mamba/micromamba,False,"english, spanish, tamil",2004-10-18,1900-01-01 08:00:00,7,parasite,"drama, sci-fi, documentary","playing trumpet, birdwatching, hiking",3,19.0
bachelor's (chemistry),1-2 years,3.0,MacOS,ğŸ˜,mamba/micromamba,True,"arabic, english",2003-01-06,1900-01-01 08:00:00,7,divergent,"comedy, sci-fi",,2,21.0
bachelor's (statistics),Less than 1 year,2.0,MacOS,ğŸ˜,mamba/micromamba,True,"chinese, english",2003-12-17,1900-01-01 12:00:00,4,interstellar,"action, comedy, horror, mystery/thriller, romance",,2,20.0
bachelor's (cs),4+ years,2.0,Windows,ğŸ˜,conda,True,english,2003-04-02,1900-01-01 11:00:00,8,your name,"action, comedy, drama, sci-fi, mystery/thriller","tennis, games, swim",1,21.0
bachelor's (cs),1-2 years,3.0,MacOS,ğŸ˜,venv,True,spanish,2004-04-09,1900-01-01 09:00:00,5,deadpool,comedy,"volleyball, gaming, reading",1,20.0
master's (mbi),Less than 1 year,2.0,MacOS,ğŸ˜,mamba/micromamba,True,english,1991-05-29,1900-01-01 06:00:00,7,the big short,"action, comedy, drama, mystery/thriller","video games, skiing, boating",1,33.0
bachelor's (cs),1-2 years,2.0,Windows,ğŸ§,i don't have a working local environment yet,True,"english, afrikaans",2003-08-28,1900-01-01 08:00:00,6,the coherence,"action, comedy, horror, sci-fi, mystery/thriller","playing pool, table tennis, writing poetry",2,21.0
master's (ds) [extension school],4+ years,3.0,Windows,ğŸ§,mamba/micromamba,True,python & r,1996-07-27,1900-01-01 07:00:00,7.5,,"comedy, drama, romance","workout, cooking, watching drama",1,28.0
graduate certificate [extension school],Less than 1 year,1.0,Windows,ğŸ§,mamba/micromamba,True,"english (2nd language but native fluency), spanish (native speaker), portuguese (working level)",1974-05-12,1900-01-01 07:00:00,8,pulp fiction,"action, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","kayaking, skiing, pickleball",3,50.0
bachelor's (am),1-2 years,3.0,MacOS,ğŸ§,mamba/micromamba,True,"english, chinese, a bit of spanish, python",2003-10-31,1900-01-01 09:00:00,7,napolean dynamite,"comedy, sci-fi, fantasy, documentary","scootering, arts&crafts, pokemongo",4,20.0
master's (ds) [extension school],Less than 1 year,2.0,Windows,ğŸ§,conda,False,"english, spanish, some french",1983-12-11,1900-01-01 08:00:00,8-9,i've been re-watching zero dark thirty lately,"action, drama, mystery/thriller, documentary","board games, reading with my kids, walks with my husband",3,40.0
bachelor's (am),1-2 years,2.0,MacOS,ğŸ§,conda,True,"english, arabic",2003-02-06,1900-01-01 08:00:00,8 hours,whiplash,"action, comedy","soccer, weightlifting, traveling",2,21.0
master's (ds) [extension school],4+ years,2.0,Linux,ğŸ°,mamba/micromamba,True,english,1994-03-05,1900-01-01 07:15:00,8,scott pilgrim vs the world,"comedy, sci-fi","golf,golf,golf",1,30.0
master's (ds) [extension school],1-2 years,3.0,MacOS,ğŸ§,mamba/micromamba,True,thai,,,,,,,1,
master's (ds) [extension school],4+ years,3.0,Windows,ğŸ˜…,conda,True,"english, mandarin, taiwanese",1993-02-06,1900-01-01 09:30:00,8,,"action, comedy, sci-fi, documentary","watching movies, playing basketball, inde music ",3,31.0
bachelor's (cs),Less than 1 year,1.0,MacOS,ğŸ˜±,mamba/micromamba,True,"english, partially arabic, partially spanish",2004-09-02,1900-01-01 09:00:00,6,interstellar,"comedy, sci-fi, mystery/thriller, romance, documentary","basketball, tennis, drawing",3,20.0
planning for ms in data science,4+ years,3.0,Windows,ğŸ§,other,True,"english, urdu, punjabi",1981-07-21,1900-01-01 06:00:00,7,3 idiots,"comedy, sci-fi, documentary","chess, photography, reading",3,43.0
bachelor's (cs),1-2 years,4.0,Windows,ğŸ§,mamba/micromamba,False,english,2005-07-01,1900-01-01 08:00:00,7 hours 30 minutes,tenet,"action, sci-fi, mystery/thriller","playing basketball, listening to music, trying new foods",1,19.0
bachelor's (cs),1-2 years,1.0,MacOS,ğŸ˜…,mamba/micromamba,True,english,2002-10-24,1900-01-01 08:00:00,7,ratatouille,"action, comedy, drama","eating, sleeping, drinking",1,21.0
master's (ds),1-2 years,3.0,MacOS,ğŸ˜…,i don't have a working local environment yet,False,"english, kiswahili, kikuyu",1999-12-29,1900-01-01 08:00:00,7,the proposal,"comedy, romance","swimming, reading, hiking, cooking, baking",3,24.0
